genre,score,writer,star,budget,gross,company,runtime
Action,7.4,Frank Hohimer,James Caan,5500000,11492915,Mann/Caan Productions,123
Adventure,7.0,Michael Palin,Sean Connery,5000000,42368025,HandMade Films,110
Horror,6.1,Ron Kurz,Betsy Palmer,1250000,21722776,Georgetown Productions Inc.,87
Action,6.7,Richard Maibaum,Roger Moore,28000000,54813222,Eon Productions,127
Horror,6.5,John Carpenter,Jamie Lee Curtis,2500000,25533818,Dino De Laurentiis Company,92
Drama,6.8,Darryl Ponicsan,George C. Scott,14000000,35856053,Major Studio Partners,126
Biography,7.3,Warren Beatty,Warren Beatty,32000000,40382659,Barclays Mercantile Industrial Finance,195
Animation,7.3,Daniel P. Mannix,Mickey Rooney,12000000,63456988,Walt Disney Animation Studios,83
Biography,7.2,Colin Welland,Ben Cross,5500000,59303359,Enigma Productions,125
Drama,6.9,Kurt Luedtke,Paul Newman,12000000,40716963,Columbia Pictures,116
Adventure,3.4,Tom Rowe,Bo Derek,6500000,36565280,Metro-Goldwyn-Mayer (MGM),115
Drama,6.7,Yabo Yablonsky,Michael Caine,10000000,10853418,Lorimar Film Entertainment,116
Comedy,6.9,Steve Gordon,Dudley Moore,7000000,95461682,Orion Pictures,97
Comedy,6.9,Mel Brooks,Mel Brooks,11000000,31672907,Brooksfilms,92
Horror,6.6,Gary Brandner,Dee Wallace,1000000,17985893,Embassy Pictures,91
Action,6.7,Hal Barwood,Peter MacNicol,18000000,14110013,Paramount Pictures,109
Crime,6.9,Newton Thornburg,Jeff Bridges,3000000,1752634,Gurian Entertainment,109
Adventure,7.3,Gérard Brach,Everett McGill,12500000,20962615,International Cinema Corporation (ICC),100
Horror,5.6,David Seltzer,Sam Neill,5000000,20471382,Twentieth Century Fox,108
Biography,6.7,Christina Crawford,Faye Dunaway,5000000,19032261,Paramount Pictures,129
Comedy,5.2,Dan Greenburg,Sylvia Kristel,2800000,26279000,Barry & Enright Productions,87
Crime,6.6,David Mamet,Jack Nicholson,12000000,12376625,CIP Filmproduktion GmbH,122
Horror,5.6,Glenn M. Benest,Maren Jensen,2500000,8279042,PolyGram Filmed Entertainment,100
Crime,6.0,Steve Tesich,William Hurt,8500000,6400000,Twentieth Century Fox,103
Action,6.6,Peter Hyams,Sean Connery,16000000,17374595,The Ladd Company,109
Comedy,6.4,Blake Edwards,Julie Andrews,12000000,14867086,Artista Management,122
Horror,6.8,Dardano Sacchetti,Catriona MacColl,400000,123843,Fulvia Film,87
Drama,6.5,Armyan Bernstein,Frederic Forrest,26000000,636796,Zoetrope Studios,107
Crime,6.3,John Gregory Dunne,Robert De Niro,10000000,12850276,Chartoff-Winkler Productions,108
Action,6.4,David Shaber,Sylvester Stallone,5000000,19905359,Universal Pictures,99
Comedy,5.6,Thomas Berger,John Belushi,8500000,29916207,Columbia Pictures,94
Horror,6.3,Whitley Strieber,Albert Finney,17000000,10626725,Orion Pictures,115
Crime,7.5,Jay Presson Allen,Treat Williams,8600000,8124257,Orion Pictures,167
Horror,6.0,Ron Kurz,Lauren Tewes,800000,1118634,Georgetown Productions Inc.,84
Comedy,5.4,Fred Bauer,Chevy Chase,20000000,18826490,Innovisions,98
Comedy,5.6,Stanley Shapiro,George Segal,6000000,9566593,DeHaven/Shapiro Productions,92
Comedy,5.1,Ken Shapiro,Chevy Chase,8000000,26154211,Twentieth Century Fox,93
Drama,6.5,Dennis Potter,Steve Martin,22000000,9171289,Metro-Goldwyn-Mayer (MGM),108
Action,5.1,Ivan Goff,Klinton Spilsbury,18000000,12617845,Eaves Movie Ranch,98
Adventure,5.2,John Byrum,Lesley-Anne Down,14000000,2022771,Orion Pictures,118
Drama,6.8,Luis Valdez,Daniel Valdez,2700000,3256082,Universal Pictures,103
Comedy,6.5,Francis Veber,Jack Lemmon,10000000,7258543,Heron Productions,96
Comedy,6.1,Lonne Elder III,Richard Pryor,11000000,31261269,Universal Pictures,94
Comedy,4.3,John Hill,Andy Kaufman,12000000,2154696,Universal Pictures,78
Comedy,5.0,Barry Schneider,Robert Hays,3500000,17569027,Cinema Group Ventures,100
Comedy,7.3,Brian Clark,Richard Dreyfuss,13000000,8206145,Metro-Goldwyn-Mayer (MGM),119
Drama,2.7,Robin Moore,Laurence Olivier,46000000,5200986,One Way Productions,140
Comedy,5.5,W.D. Richter,Gene Hackman,14000000,4454295,Universal Pictures,87
Adventure,5.6,J.D. Reed,Robert Duvall,12000000,3702028,PolyGram Pictures,100
Drama,5.4,Howard Kohn,Jane Fonda,16000000,10851261,IPC Films,116
Action,5.2,Edward Clinton,David Rasche,24000000,2004742,EMI Films,107
Action,5.5,David Barry,Harry Hamlin,2000000,1791147,PolyGram Pictures,90
Comedy,7.2,Cameron Crowe,Sean Penn,4500000,27092880,Universal Pictures,90
Action,8.1,Hampton Fancher,Harrison Ford,28000000,41676878,The Ladd Company,117
Horror,8.1,Bill Lancaster,Kurt Russell,15000000,19632053,Universal Pictures,109
Action,6.9,Robert E. Howard,Arnold Schwarzenegger,20000000,68851475,Universal Pictures,129
Family,7.8,Melissa Mathison,Henry Thomas,10500000,792910554,Universal Pictures,115
Action,7.7,David Morrell,Sylvester Stallone,15000000,125212904,Anabasis N.V.,93
Drama,7.0,Douglas Day Stewart,Richard Gere,7500000,129795554,Lorimar Film Entertainment,124
Comedy,4.4,Ken Finkleman,Michelle Pfeiffer,13200000,15171476,Paramount Pictures,115
Comedy,6.6,Carol Sobieski,Aileen Quinn,50000000,57063861,Columbia Pictures,127
Horror,7.3,Steven Spielberg,JoBeth Williams,10700000,77142388,Metro-Goldwyn-Mayer (MGM),114
Action,6.9,Roger Spottiswoode,Nick Nolte,12000000,78868508,Paramount Pictures,96
Action,7.7,Gene Roddenberry,William Shatner,11200000,78912963,Paramount Pictures,113
Drama,7.6,William Styron,Meryl Streep,12000000,30036000,Incorporated Television Company (ITC),150
Biography,8.0,John Briley,Ben Kingsley,22000000,52767889,International Film Investors,191
Comedy,7.4,Don McGuire,Dustin Hoffman,21000000,177200000,Columbia Pictures,116
Action,6.8,Steven Lisberger,Jeff Bridges,17000000,33000525,Walt Disney Productions,96
Animation,7.6,Robert C. O'Brien,Elizabeth Hartman,7000000,14665733,Aurora,82
Comedy,7.8,Paul D. Zimmerman,Robert De Niro,20000000,2536242,Embassy International Pictures,109
Drama,6.8,Sylvester Stallone,Sylvester Stallone,17000000,125052686,Chartoff-Winkler Productions,99
Action,6.2,Don Coscarelli,Marc Singer,8000000,14056528,Leisure Investment Company,118
Comedy,6.9,Stephen King,Hal Holbrook,8000000,21028755,United Film Distribution Company (UFDC),120
Adventure,7.3,A.B. 'Banjo' Paterson,Kirk Douglas,3500000,20659423,Cambridge Productions,102
Drama,8.0,Roger Waters,Bob Geldof,12000000,22265763,Goldcrest Films International,95
Fantasy,6.2,DeWitt Bodeen,Nastassja Kinski,18000000,7000000,RKO Pictures,118
Drama,8.1,Ingmar Bergman,Bertil Guve,6000000,6795771,Cinematograph AB,188
Horror,5.7,Martin Kitrosser,Dana Kimmell,2300000,36690067,Paramount Pictures,95
Action,6.0,Alex Lasker,Clint Eastwood,18000000,46708276,Major Studio Partners,136
Horror,5.0,Tommy Lee Wallace,Tom Atkins,2500000,14400000,Dino De Laurentiis Company,98
Adventure,7.2,David Odell,Jim Henson,15000000,41630431,Incorporated Television Company (ITC),93
Drama,7.7,Barry Reed,Paul Newman,16000000,53993738,Twentieth Century Fox,129
Horror,6.1,Dick Randall,Christopher George,300000,2032311,Almena Films,85
Comedy,7.2,John Irving,Robin Williams,17000000,29712172,Pan Arts,136
Comedy,7.1,Barry Levinson,Steve Guttenberg,5000000,14099953,Metro-Goldwyn-Mayer (MGM),110
Comedy,6.0,Larry L. King,Burt Reynolds,35000000,69701637,Universal Pictures,114
Drama,7.1,David Williamson,Mel Gibson,13000000,10278575,Metro-Goldwyn-Mayer (MGM),115
Animation,7.4,Peter S. Beagle,Jeff Bridges,3500000,6455330,Rankin/Bass Productions,92
Drama,6.7,Frank De Felitta,Barbara Hershey,9000000,13277558,American Cinema Productions,125
Comedy,6.2,Ken Finkleman,Robert Hays,15000000,27150534,Paramount Pictures,85
Comedy,5.8,Francis Veber,Richard Pryor,17000000,47118057,Columbia Pictures,102
Horror,6.0,Mark Rosman,Kate McNeil,425000,10604986,VAE Productions,91
Crime,7.1,Anthony Shaffer,Peter Ustinov,10000000,6110670,EMI Films,117
Action,6.0,David Engelbach,Charles Bronson,2000000,16100000,Golan-Globus Productions,89
Action,5.5,Joseph Fraley,Chuck Norris,4500000,10490791,Columbia Pictures,103
Action,3.7,Bob Kachler,Barry Bostwick,20000000,5675599,Golden Harvest Company,99
Drama,6.3,Robert Towne,Mariel Hemingway,16000000,5672311,The Geffen Company,128
Comedy,6.9,Carl Reiner,Steve Martin,9000000,18196170,Aspen Film Society,88
Horror,5.5,Tommy Lee Wallace,James Olson,5000000,12534817,Dino De Laurentiis Company,104
Biography,7.7,Costa-Gavras,Jack Lemmon,9500000,14000000,PolyGram Filmed Entertainment,122
Comedy,6.7,John Steinbeck,Nick Nolte,11300000,5301539,Chai Productions,120
Comedy,6.5,Paul Mazursky,John Cassavetes,13000000,5005245,Columbia Pictures,140
Crime,6.1,Robert Benton,Roy Scheider,10000000,5979947,United Artists,93
Horror,3.9,Alan J. Adler,Robert Glaudini,800000,2270,Embassy Pictures,85
Comedy,6.6,Clancy Carlile,Clint Eastwood,2000000,4484991,The Malpaso Company,122
Comedy,7.2,Ed Graczyk,Cher,850000,840958,Sandcastle 5 Productions,109
Action,6.4,George Markstein,Lewis Collins,6000000,2666873,Richmond Light Horse Productions,125
Comedy,5.0,Blake Edwards,Peter Sellers,6000000,9056073,United Artists,96
Crime,6.4,Deric Washburn,Jack Nicholson,22000000,6118683,Efer Productions,108
Comedy,5.5,Valerie Curtin,Burt Reynolds,15000000,36821203,Warner Bros.,116
Drama,6.9,Bo Goldman,Albert Finney,12000000,9217530,Metro-Goldwyn-Mayer (MGM),124
Comedy,5.1,Al Schwartz,Jon Voight,17000000,946461,Lorimar Productions,105
Western,6.4,William D. Wittliff,Willie Nelson,11000000,1736123,Incorporated Television Company (ITC),90
Action,5.3,James Glickenhaus,Ken Wahl,4000000,6328816,James Glickenhaus,96
Comedy,5.7,Charles McCarry,Sean Connery,10000000,3583513,Columbia Pictures,117
Sci-Fi,6.2,Monica Mcgowan Johnson,Mark Blankfield,5000000,3792188,Paramount Pictures,87
Action,5.6,Franklin Thompson,Chuck Norris,5000000,6660333,Metro-Goldwyn-Mayer (MGM),90
Drama,6.5,John McGreevey,John Hurt,10000000,8000000,Walt Disney Productions,107
Action,6.0,Cheech Marin,Toni Attell,7000000,21134374,C & C Brown Production,90
Comedy,4.7,Frank D. Gilroy,Bette Midler,13400000,2869638,Herb Jaffe,103
Drama,6.1,Michael Austin,Sean Connery,15000000,199078,Cable and Wireless Finance,108
Comedy,5.3,Francis Veber,Ryan O'Neal,6000000,6062898,Paramount Pictures,93
Comedy,3.9,Anne Piper,Luciano Pavarotti,19000000,2279543,Metro-Goldwyn-Mayer (MGM),110
Crime,8.3,Oliver Stone,Al Pacino,25000000,65884703,Universal Pictures,170
Crime,7.1,Kathleen Rowell,C. Thomas Howell,10000000,25697647,Zoetrope Studios,91
Action,8.3,Lawrence Kasdan,Mark Hamill,32500000,475106177,Lucasfilm,131
Comedy,6.8,Paul Brickman,Tom Cruise,6200000,63541777,The Geffen Company,99
Adventure,7.4,John Hughes,Chevy Chase,15000000,61399552,National Lampoon,98
Comedy,7.5,Timothy Harris,Eddie Murphy,15000000,90404800,Cinema Group Ventures,116
Action,5.0,Jerry Siegel,Christopher Reeve,39000000,59950623,Dovemead Films,125
Comedy,7.2,Lawrence Kasdan,Tom Berenger,8000000,56399659,Columbia Pictures,105
Drama,4.7,Nik Cohn,John Travolta,22000000,64892670,Paramount Pictures,93
Adventure,3.7,Peter Benchley,Dennis Quaid,20500000,87987055,Universal Pictures,99
Horror,6.7,Stephen King,Keith Gordon,9700000,21017849,Columbia Pictures,110
Drama,6.2,Thomas Hedley Jr.,Jennifer Beals,4000000,92921203,Paramount Pictures,95
Action,7.1,Lawrence Lasker,Matthew Broderick,12000000,79567667,United Artists,114
Adventure,7.8,Philip Kaufman,Sam Shepard,27000000,21192315,The Ladd Company,193
Action,6.1,Stanford Sherman,Ken Marshall,47000000,16916617,Columbia Pictures,121
Drama,7.2,Jeffrey Boam,Christopher Walken,10000000,20766616,Dino De Laurentiis Company,103
Action,6.5,George MacDonald Fraser,Roger Moore,27500000,67893619,United Artists,131
Comedy,5.3,Dan Greenburg,Phoebe Cates,3500000,14049540,Unity Productions,89
Comedy,6.4,Andrew Lane,Nicolas Cage,350000,17343596,Atlantic Entertainment Group,99
Crime,7.2,S.E. Hinton,Matt Dillon,10000000,2494480,Zoetrope Studios,94
Horror,7.2,David Cronenberg,James Woods,5952000,2120439,Filmplan International,87
Comedy,7.4,Larry McMurtry,Shirley MacLaine,8000000,108423749,Paramount Pictures,132
Horror,6.5,John Landis,Dan Aykroyd,10000000,29450919,Amblin Entertainment,101
Action,6.2,Kevin McClory,Sean Connery,36000000,55432841,TaliaFilm II Productions,134
Comedy,7.9,Jean Shepherd,Peter Billingsley,3300000,20653717,Metro-Goldwyn-Mayer (MGM),93
Horror,6.1,Stephen King,Dee Wallace,5000000,21156152,Sunn Classic Pictures,93
Action,6.6,Harry Julian Fink,Clint Eastwood,22000000,67642693,Warner Bros.,117
Action,6.4,Dan O'Bannon,Roy Scheider,22000000,42313354,Columbia Pictures,109
Action,5.9,François Truffaut,Richard Gere,7500000,19910002,Breathless Associates,100
Crime,6.5,Tom Holland,Anthony Perkins,5000000,34725000,Universal Pictures,113
Biography,7.2,Nora Ephron,Meryl Streep,10000000,35615609,ABC Motion Pictures,131
Drama,5.9,Michael Kane,Tom Cruise,5600000,17233166,Lucille Ball Productions,91
Drama,5.7,F. Paul Wilson,Scott Glenn,11000000,4218594,Paramount Pictures,96
Drama,6.6,Jack Rosenthal,Barbra Streisand,12000000,40218899,Ladbroke,133
Animation,6.6,Ralph Bakshi,Randy Norton,1200000,760883,Polyc International BV,81
Action,6.0,Graham Chapman,Graham Chapman,6500000,4300000,Seagoat Films,96
Comedy,7.5,Graham Chapman,John Cleese,9000000,14949697,Celandine Films,107
Action,4.6,Howard R. Cohen,Rick Hill,457000,11919250,Aries Cinematográfica Argentina,80
Comedy,5.0,Roger Swaybill,Dan Monahan,6500000,33759266,Astral Bellevue Pathé,98
Fantasy,6.8,Ray Bradbury,Jason Robards,19000000,8400000,Walt Disney Productions,95
Biography,6.7,Teresa Carpenter,Mariel Hemingway,12000000,6472990,The Ladd Company,103
Crime,6.7,Martin Cruz Smith,William Hurt,15000000,15856028,Eagle Associates.,128
Action,6.3,B.J. Nelson,Chuck Norris,5000000,12232628,1818 Productions,107
Comedy,4.9,Bill Norton,Tom Cruise,7000000,1246141,Tiberius Film Productions,100
Comedy,4.7,Linda Shayne,Peter Keleghan,800000,2082215,Millenium,80
Sci-Fi,6.4,Bruce Joel Rubin,Christopher Walken,15000000,10219460,JF Productions,106
Action,5.7,Robert Vincent O'Neil,Cliff Gorman,3000000,17488564,Adams Apple Film Company,94
Crime,6.3,William Roberts,Charles Bronson,4520000,7175592,Cannon Films,101
Action,6.4,Joe Gayton,Gene Hackman,14500000,30503151,Paramount Pictures,105
Horror,5.2,Howard Avedis,Mary Beth McDonough,250000,4319001,Hickmar Productions,93
Adventure,5.0,Menahem Golan,Brooke Shields,25000000,1402962,Cabal Film,111
Comedy,4.7,John Herzfeld,John Travolta,14000000,23646952,Twentieth Century Fox,88
Action,5.0,Aaron Butler,Linda Blair,1250000,6149983,Heat GBR,95
Action,5.5,Stewart Harding,Peter Strauss,14400000,16478265,Columbia Pictures,90
Adventure,6.1,Jon Cleary,Tom Selleck,19000000,28445927,City Films,105
Animation,6.5,Patrick Loubert,Don Francks,8000000,30379,Nelvana,77
Adventure,4.0,Luigi Cozzi,Lou Ferrigno,2500000,10676194,Cannon Films Inc.,98
Drama,7.0,Ron Shelton,Nick Nolte,9500000,5696391,Cinema '84,128
Horror,4.1,David Ambrose,Tony Roberts,6000000,6333135,De Laurentiis Entertainment Group (DEG),105
Action,5.9,Robert Ludlum,Rutger Hauer,6500000,6486797,Osterman Weekend Associates,103
Action,6.1,James R. Silke,Shô Kosugi,700000,13168027,Cannon Films,90
Comedy,6.8,Thomas Meehan,Mel Brooks,9000000,13030214,Brooksfilms,107
Adventure,4.7,Leslie Arliss,Faye Dunaway,8000000,724912,Golan-Globus Productions,98
Horror,6.1,Chauncey G. Parker III,Peter Weller,4000000,1080470,Warner Bros.,88
Comedy,4.3,Blake Edwards,David Niven,11000000,4491986,United Artists,109
Action,5.5,Topper Carew,Max Gail,8000000,16134627,RKO Pictures,100
Drama,5.7,Graham Greene,Michael Caine,11800000,5997566,World Film Services,104
Comedy,5.8,Michael Leeson,Walter Matthau,12000000,14000000,Rastar Films,103
Drama,3.0,Harold Robbins,Pia Zadora,5000000,1223200,Harold Robbins International Company,92
Comedy,5.3,Blake Edwards,Burt Reynolds,19000000,10964740,Delphi Films,110
Horror,5.8,Christopher Crowe,Cristina Raines,6000000,6670680,Universal Pictures,99
Comedy,4.6,Paul Brickman,Chevy Chase,10000000,10369581,Warner Bros.,99
Action,5.7,James McLendon,Kirk Douglas,5000000,1262691,Universal Pictures,95
Comedy,6.3,Amy Robinson,Rosanna Arquette,3000000,1867792,Double Play,105
Drama,5.9,Amy Holden Jones,Jamie Lee Curtis,550000,5269990,Millenium,88
Comedy,6.7,Danny Opatoshu,Malcolm McDowell,5500000,1645711,D & P Productions,92
Action,6.2,Lloyd Phillips,Tommy Lee Jones,12000000,1963756,Phillips Whitehouse Productions,99
Comedy,3.7,William Olsen,Martin Yost,220000,975414,Seventh Avenue Films,96
Drama,6.8,John Sayles,Linda Griffiths,300000,1530839,Winwood Productions,110
Comedy,5.2,Marshall Brickman,Dudley Moore,10100000,10171304,The Ladd Company,95
Biography,6.7,Henry Bean,Robby Benson,8000000,3000000,Englander Productions,106
Comedy,5.3,Jeffrey Price,Margot Kidder,5000000,4304286,Walt Disney Productions,91
Drama,7.2,Charles Burnett,Everett Silas,50000,26177,Charles Burnett Productions,115
Action,8.0,James Cameron,Arnold Schwarzenegger,6400000,78371200,Cinema '84,107
Action,6.5,Frank Herbert,Kyle MacLachlan,40000000,30925690,Dino De Laurentiis Company,137
Action,7.8,Dan Aykroyd,Bill Murray,30000000,296187079,Columbia Pictures,105
Action,7.3,Robert Mark Kamen,Ralph Macchio,8000000,91119319,Columbia Pictures,126
Crime,8.4,Harry Grey,Robert De Niro,30000000,5473212,The Ladd Company,229
Comedy,6.7,Neal Israel,Steve Guttenberg,4500000,81198894,The Ladd Company,96
Action,7.5,Willard Huyck,Harrison Ford,28000000,333107271,Paramount Pictures,118
Crime,6.8,Robert J. Avrech,Craig Wasson,10000000,8801940,Columbia Pictures,114
Horror,7.5,Wes Craven,Heather Langenkamp,1800000,25507137,New Line Cinema,91
Biography,8.3,Peter Shaffer,F. Murray Abraham,18000000,52066791,AMLF,160
Action,7.3,Daniel Petrie Jr.,Eddie Murphy,14000000,316360478,Paramount Pictures,105
Action,6.4,Kevin Reynolds,Patrick Swayze,17000000,38376497,United Artists,114
Adventure,7.4,Wolfgang Petersen,Noah Hathaway,27000000,20251411,Constantin Film,102
Drama,6.6,Dean Pitchford,Kevin Bacon,8200000,80039064,Paramount Pictures,107
Comedy,6.6,Tim Metcalfe,Robert Carradine,8000000,40874452,Twentieth Century Fox,90
Comedy,7.3,Chris Columbus,Zach Galligan,11000000,153633143,Warner Bros.,106
Action,6.9,Diane Thomas,Michael Douglas,10000000,86572238,Twentieth Century Fox,106
Action,6.7,Walter Hill,Michael Paré,14500000,8089290,Universal Pictures,93
Comedy,7.0,John Hughes,Molly Ringwald,6500000,23686027,Universal Pictures,93
Comedy,7.9,Christopher Guest,Rob Reiner,2500000,4736202,Spinal Tap Prod.,82
Comedy,7.2,Jim Abrahams,Val Kilmer,9000000,20458340,Kingsmere Properties,90
Action,5.9,Robert E. Howard,Arnold Schwarzenegger,18000000,31042035,Dino De Laurentiis Company,103
Horror,5.6,Stephen King,Peter Horton,800000,14568989,Hal Roach Studios,92
Action,6.8,Jonathan R. Betuel,Lance Guest,15000000,28733290,Lorimar Film Entertainment,101
Comedy,6.3,Brian Grazer,Tom Hanks,8000000,69821334,Touchstone Pictures,111
Crime,7.6,Joel Coen,John Getz,1500000,4228292,River Road Productions,99
Drama,7.5,Bernard Malamud,Robert Redford,28000000,47951979,TriStar Pictures,138
Comedy,6.3,Bob Israel,Tom Hanks,5000000,38435947,Bachelor Party Productions,105
Horror,6.0,Victor Miller,Erich Anderson,2600000,32980880,Paramount Pictures,91
Action,5.9,Eric Hughes,Rachel Ward,13000000,21689062,Columbia Pictures,128
Action,4.4,David Odell,Helen Slater,35000000,14296438,Artistry Limited,124
Adventure,7.0,Robert Bolt,Mel Gibson,25000000,8613462,Dino De Laurentiis Company,132
Action,6.1,Stephen King,Drew Barrymore,15000000,17080167,Dino De Laurentiis Company,114
Horror,5.6,Parnell Hall,John Heard,1250000,4654423,C.H.U.D. Productions,88
Comedy,6.0,Jean-Loup Dabadie,Gene Wilder,9000000,25348610,Orion Pictures,87
Action,6.7,Gene Roddenberry,William Shatner,17000000,76471046,Paramount Pictures,105
Action,6.9,Alex Cox,Harry Dean Stanton,1500000,129000,Edge City Productions,92
Adventure,6.8,Arthur C. Clarke,Roy Scheider,28000000,40400657,Metro-Goldwyn-Mayer (MGM),116
Biography,7.8,Bruce Robinson,Sam Waterston,14400000,34700291,Goldcrest Films International,141
Crime,6.5,William Kennedy,Richard Gere,58000000,25928721,Zoetrope Studios,127
Romance,7.0,Bruce A. Evans,Jeff Bridges,22000000,28744356,Columbia Pictures,115
Comedy,6.4,Thom Eberhardt,Catherine Mary Stewart,700000,14418922,Atlantic Entertainment Group,95
Adventure,6.1,Michael Janover,Michael Paré,21000000,8103330,New World Pictures,102
Comedy,3.0,John Derek,Bo Derek,7000000,8914881,City Films,105
Action,5.1,Brock Yates,Burt Reynolds,20000000,28078073,Arcafin B.V.,108
Comedy,7.5,Jim Jarmusch,John Lurie,90000,2436000,Cinesthesia Productions,89
Action,5.7,Stewart Raffill,Robert Urich,9000000,14255801,Metro-Goldwyn-Mayer (MGM),91
Adventure,7.3,E.M. Forster,Judy Davis,16000000,27201487,EMI Films,164
Drama,6.5,Albert Magnoli,Prince,7200000,70263155,Warner Bros.,111
Comedy,6.0,John Irving,Rob Lowe,7500000,5142858,Filmline Productions,109
Adventure,4.9,David Newman,Tanya Roberts,25000000,5778353,Colgems Productions Ltd.,117
Action,5.5,Arthur Silver,Chuck Norris,2550000,22812411,The Cannon Group,101
Adventure,6.4,Edgar Rice Burroughs,Christopher Lambert,30000000,45858563,Warner Bros.,143
Drama,6.5,Michael Cristofer,Robert De Niro,12000000,11129057,Paramount Pictures,106
Drama,7.3,William Wharton,Matthew Modine,12000000,1455045,A&M Films,120
Drama,6.7,Angela Carter,Sarah Patterson,2000000,4389334,Incorporated Television Company (ITC),95
Comedy,6.7,Steve Kloves,Sean Penn,6500000,6045647,Jaffe-Lansing,108
