rating,genre,score,director,star,budget,gross,company,runtime
G,Animation,7.6,Don Bluth,Elizabeth Hartman,7000000,14665733,Aurora,82
PG,Comedy,7.8,Martin Scorsese,Robert De Niro,20000000,2536242,Embassy International Pictures,109
PG,Drama,6.8,Sylvester Stallone,Sylvester Stallone,17000000,125052686,Chartoff-Winkler Productions,99
PG,Action,6.2,Don Coscarelli,Marc Singer,8000000,14056528,Leisure Investment Company,118
R,Comedy,6.9,George A. Romero,Hal Holbrook,8000000,21028755,United Film Distribution Company (UFDC),120
PG,Adventure,7.3,George Miller,Kirk Douglas,3500000,20659423,Cambridge Productions,102
R,Drama,8.0,Alan Parker,Bob Geldof,12000000,22265763,Goldcrest Films International,95
R,Fantasy,6.2,Paul Schrader,Nastassja Kinski,18000000,7000000,RKO Pictures,118
R,Drama,8.1,Ingmar Bergman,Bertil Guve,6000000,6795771,Cinematograph AB,188
R,Horror,5.7,Steve Miner,Dana Kimmell,2300000,36690067,Paramount Pictures,95
PG,Action,6.0,Clint Eastwood,Clint Eastwood,18000000,46708276,Major Studio Partners,136
R,Horror,5.0,Tommy Lee Wallace,Tom Atkins,2500000,14400000,Dino De Laurentiis Company,98
PG,Adventure,7.2,Jim Henson,Jim Henson,15000000,41630431,Incorporated Television Company (ITC),93
R,Drama,7.7,Sidney Lumet,Paul Newman,16000000,53993738,Twentieth Century Fox,129
Not Rated,Horror,6.1,Juan Piquer Simón,Christopher George,300000,2032311,Almena Films,85
R,Comedy,7.2,George Roy Hill,Robin Williams,17000000,29712172,Pan Arts,136
R,Comedy,7.1,Barry Levinson,Steve Guttenberg,5000000,14099953,Metro-Goldwyn-Mayer (MGM),110
R,Comedy,6.0,Colin Higgins,Burt Reynolds,35000000,69701637,Universal Pictures,114
PG,Drama,7.1,Peter Weir,Mel Gibson,13000000,10278575,Metro-Goldwyn-Mayer (MGM),115
G,Animation,7.4,Jules Bass,Jeff Bridges,3500000,6455330,Rankin/Bass Productions,92
R,Drama,6.7,Sidney J. Furie,Barbara Hershey,9000000,13277558,American Cinema Productions,125
PG,Comedy,6.2,Ken Finkleman,Robert Hays,15000000,27150534,Paramount Pictures,85
PG,Comedy,5.8,Richard Donner,Richard Pryor,17000000,47118057,Columbia Pictures,102
R,Horror,6.0,Mark Rosman,Kate McNeil,425000,10604986,VAE Productions,91
PG,Crime,7.1,Guy Hamilton,Peter Ustinov,10000000,6110670,EMI Films,117
R,Action,6.0,Michael Winner,Charles Bronson,2000000,16100000,Golan-Globus Productions,89
R,Action,5.5,Michael Miller,Chuck Norris,4500000,10490791,Columbia Pictures,103
PG,Action,3.7,Hal Needham,Barry Bostwick,20000000,5675599,Golden Harvest Company,99
R,Drama,6.3,Robert Towne,Mariel Hemingway,16000000,5672311,The Geffen Company,128
PG,Comedy,6.9,Carl Reiner,Steve Martin,9000000,18196170,Aspen Film Society,88
R,Horror,5.5,Damiano Damiani,James Olson,5000000,12534817,Dino De Laurentiis Company,104
PG,Biography,7.7,Costa-Gavras,Jack Lemmon,9500000,14000000,PolyGram Filmed Entertainment,122
PG,Comedy,6.7,David S. Ward,Nick Nolte,11300000,5301539,Chai Productions,120
PG,Comedy,6.5,Paul Mazursky,John Cassavetes,13000000,5005245,Columbia Pictures,140
PG,Crime,6.1,Robert Benton,Roy Scheider,10000000,5979947,United Artists,93
R,Horror,3.9,Charles Band,Robert Glaudini,800000,2270,Embassy Pictures,85
PG,Comedy,6.6,Clint Eastwood,Clint Eastwood,2000000,4484991,The Malpaso Company,122
PG,Comedy,7.2,Robert Altman,Cher,850000,840958,Sandcastle 5 Productions,109
R,Action,6.4,Ian Sharp,Lewis Collins,6000000,2666873,Richmond Light Horse Productions,125
PG,Comedy,5.0,Blake Edwards,Peter Sellers,6000000,9056073,United Artists,96
R,Crime,6.4,Tony Richardson,Jack Nicholson,22000000,6118683,Efer Productions,108
PG,Comedy,5.5,Norman Jewison,Burt Reynolds,15000000,36821203,Warner Bros.,116
R,Drama,6.9,Alan Parker,Albert Finney,12000000,9217530,Metro-Goldwyn-Mayer (MGM),124
R,Comedy,5.1,Hal Ashby,Jon Voight,17000000,946461,Lorimar Productions,105
PG,Western,6.4,Fred Schepisi,Willie Nelson,11000000,1736123,Incorporated Television Company (ITC),90
R,Action,5.3,James Glickenhaus,Ken Wahl,4000000,6328816,James Glickenhaus,96
R,Comedy,5.7,Richard Brooks,Sean Connery,10000000,3583513,Columbia Pictures,117
R,Sci-Fi,6.2,Jerry Belson,Mark Blankfield,5000000,3792188,Paramount Pictures,87
R,Action,5.6,James Fargo,Chuck Norris,5000000,6660333,Metro-Goldwyn-Mayer (MGM),90
PG,Drama,6.5,Delbert Mann,John Hurt,10000000,8000000,Walt Disney Productions,107
R,Action,6.0,Thomas K. Avildsen,Toni Attell,7000000,21134374,C & C Brown Production,90
R,Comedy,4.7,Don Siegel,Bette Midler,13400000,2869638,Herb Jaffe,103
PG,Drama,6.1,Fred Zinnemann,Sean Connery,15000000,199078,Cable and Wireless Finance,108
R,Comedy,5.3,James Burrows,Ryan O'Neal,6000000,6062898,Paramount Pictures,93
PG,Comedy,3.9,Franklin J. Schaffner,Luciano Pavarotti,19000000,2279543,Metro-Goldwyn-Mayer (MGM),110
R,Crime,8.3,Brian De Palma,Al Pacino,25000000,65884703,Universal Pictures,170
PG,Crime,7.1,Francis Ford Coppola,C. Thomas Howell,10000000,25697647,Zoetrope Studios,91
PG,Action,8.3,Richard Marquand,Mark Hamill,32500000,475106177,Lucasfilm,131
R,Comedy,6.8,Paul Brickman,Tom Cruise,6200000,63541777,The Geffen Company,99
R,Adventure,7.4,Harold Ramis,Chevy Chase,15000000,61399552,National Lampoon,98
R,Comedy,7.5,John Landis,Eddie Murphy,15000000,90404800,Cinema Group Ventures,116
PG,Action,5.0,Richard Lester,Christopher Reeve,39000000,59950623,Dovemead Films,125
R,Comedy,7.2,Lawrence Kasdan,Tom Berenger,8000000,56399659,Columbia Pictures,105
PG,Drama,4.7,Sylvester Stallone,John Travolta,22000000,64892670,Paramount Pictures,93
PG,Adventure,3.7,Joe Alves,Dennis Quaid,20500000,87987055,Universal Pictures,99
R,Horror,6.7,John Carpenter,Keith Gordon,9700000,21017849,Columbia Pictures,110
R,Drama,6.2,Adrian Lyne,Jennifer Beals,4000000,92921203,Paramount Pictures,95
PG,Action,7.1,John Badham,Matthew Broderick,12000000,79567667,United Artists,114
PG,Adventure,7.8,Philip Kaufman,Sam Shepard,27000000,21192315,The Ladd Company,193
PG,Action,6.1,Peter Yates,Ken Marshall,47000000,16916617,Columbia Pictures,121
R,Drama,7.2,David Cronenberg,Christopher Walken,10000000,20766616,Dino De Laurentiis Company,103
PG,Action,6.5,John Glen,Roger Moore,27500000,67893619,United Artists,131
R,Comedy,5.3,Noel Black,Phoebe Cates,3500000,14049540,Unity Productions,89
R,Comedy,6.4,Martha Coolidge,Nicolas Cage,350000,17343596,Atlantic Entertainment Group,99
R,Crime,7.2,Francis Ford Coppola,Matt Dillon,10000000,2494480,Zoetrope Studios,94
R,Horror,7.2,David Cronenberg,James Woods,5952000,2120439,Filmplan International,87
PG,Comedy,7.4,James L. Brooks,Shirley MacLaine,8000000,108423749,Paramount Pictures,132
PG,Horror,6.5,Directors,Dan Aykroyd,10000000,29450919,Amblin Entertainment,101
PG,Action,6.2,Irvin Kershner,Sean Connery,36000000,55432841,TaliaFilm II Productions,134
PG,Comedy,7.9,Bob Clark,Peter Billingsley,3300000,20653717,Metro-Goldwyn-Mayer (MGM),93
R,Horror,6.1,Lewis Teague,Dee Wallace,5000000,21156152,Sunn Classic Pictures,93
R,Action,6.6,Clint Eastwood,Clint Eastwood,22000000,67642693,Warner Bros.,117
R,Action,6.4,John Badham,Roy Scheider,22000000,42313354,Columbia Pictures,109
R,Action,5.9,Jim McBride,Richard Gere,7500000,19910002,Breathless Associates,100
R,Crime,6.5,Richard Franklin,Anthony Perkins,5000000,34725000,Universal Pictures,113
R,Biography,7.2,Mike Nichols,Meryl Streep,10000000,35615609,ABC Motion Pictures,131
R,Drama,5.9,Michael Chapman,Tom Cruise,5600000,17233166,Lucille Ball Productions,91
R,Drama,5.7,Michael Mann,Scott Glenn,11000000,4218594,Paramount Pictures,96
PG,Drama,6.6,Barbra Streisand,Barbra Streisand,12000000,40218899,Ladbroke,133
PG,Animation,6.6,Ralph Bakshi,Randy Norton,1200000,760883,Polyc International BV,81
PG,Action,6.0,Mel Damski,Graham Chapman,6500000,4300000,Seagoat Films,96
R,Comedy,7.5,Terry Jones,John Cleese,9000000,14949697,Celandine Films,107
R,Action,4.6,James Sbardellati,Rick Hill,457000,11919250,Aries Cinematográfica Argentina,80
R,Comedy,5.0,Bob Clark,Dan Monahan,6500000,33759266,Astral Bellevue Pathé,98
PG,Fantasy,6.8,Jack Clayton,Jason Robards,19000000,8400000,Walt Disney Productions,95
R,Biography,6.7,Bob Fosse,Mariel Hemingway,12000000,6472990,The Ladd Company,103
R,Crime,6.7,Michael Apted,William Hurt,15000000,15856028,Eagle Associates.,128
PG,Action,6.3,Steve Carver,Chuck Norris,5000000,12232628,1818 Productions,107
R,Comedy,4.9,Curtis Hanson,Tom Cruise,7000000,1246141,Tiberius Film Productions,100
R,Comedy,4.7,Rafal Zielinski,Peter Keleghan,800000,2082215,Millenium,80
PG,Sci-Fi,6.4,Douglas Trumbull,Christopher Walken,15000000,10219460,JF Productions,106
R,Action,5.7,Robert Vincent O'Neil,Cliff Gorman,3000000,17488564,Adams Apple Film Company,94
R,Crime,6.3,J. Lee Thompson,Charles Bronson,4520000,7175592,Cannon Films,101
R,Action,6.4,Ted Kotcheff,Gene Hackman,14500000,30503151,Paramount Pictures,105
R,Horror,5.2,Howard Avedis,Mary Beth McDonough,250000,4319001,Hickmar Productions,93
PG,Adventure,5.0,Andrew V. McLaglen,Brooke Shields,25000000,1402962,Cabal Film,111
PG,Comedy,4.7,John Herzfeld,John Travolta,14000000,23646952,Twentieth Century Fox,88
R,Action,5.0,Paul Nicholas,Linda Blair,1250000,6149983,Heat GBR,95
PG,Action,5.5,Lamont Johnson,Peter Strauss,14400000,16478265,Columbia Pictures,90
PG,Adventure,6.1,Brian G. Hutton,Tom Selleck,19000000,28445927,City Films,105
PG,Animation,6.5,Clive Smith,Don Francks,8000000,30379,Nelvana,77
PG,Adventure,4.0,Luigi Cozzi,Lou Ferrigno,2500000,10676194,Cannon Films Inc.,98
R,Drama,7.0,Roger Spottiswoode,Nick Nolte,9500000,5696391,Cinema '84,128
PG,Horror,4.1,Richard Fleischer,Tony Roberts,6000000,6333135,De Laurentiis Entertainment Group (DEG),105
R,Action,5.9,Sam Peckinpah,Rutger Hauer,6500000,6486797,Osterman Weekend Associates,103
R,Action,6.1,Sam Firstenberg,Shô Kosugi,700000,13168027,Cannon Films,90
PG,Comedy,6.8,Alan Johnson,Mel Brooks,9000000,13030214,Brooksfilms,107
R,Adventure,4.7,Michael Winner,Faye Dunaway,8000000,724912,Golan-Globus Productions,98
R,Horror,6.1,George P. Cosmatos,Peter Weller,4000000,1080470,Warner Bros.,88
PG,Comedy,4.3,Blake Edwards,David Niven,11000000,4491986,United Artists,109
R,Action,5.5,Joel Schumacher,Max Gail,8000000,16134627,RKO Pictures,100
R,Drama,5.7,John Mackenzie,Michael Caine,11800000,5997566,World Film Services,104
R,Comedy,5.8,Michael Ritchie,Walter Matthau,12000000,14000000,Rastar Films,103
R,Drama,3.0,Peter Sasdy,Pia Zadora,5000000,1223200,Harold Robbins International Company,92
R,Comedy,5.3,Blake Edwards,Burt Reynolds,19000000,10964740,Delphi Films,110
R,Horror,5.8,Joseph Sargent,Cristina Raines,6000000,6670680,Universal Pictures,99
PG,Comedy,4.6,William Friedkin,Chevy Chase,10000000,10369581,Warner Bros.,99
PG,Action,5.7,Jeff Kanew,Kirk Douglas,5000000,1262691,Universal Pictures,95
R,Comedy,6.3,John Sayles,Rosanna Arquette,3000000,1867792,Double Play,105
R,Drama,5.9,Amy Holden Jones,Jamie Lee Curtis,550000,5269990,Millenium,88
R,Comedy,6.7,Allan Arkush,Malcolm McDowell,5500000,1645711,D & P Productions,92
PG,Action,6.2,Ferdinand Fairfax,Tommy Lee Jones,12000000,1963756,Phillips Whitehouse Productions,99
R,Comedy,3.7,William Olsen,Martin Yost,220000,975414,Seventh Avenue Films,96
R,Drama,6.8,John Sayles,Linda Griffiths,300000,1530839,Winwood Productions,110
PG,Comedy,5.2,Marshall Brickman,Dudley Moore,10100000,10171304,The Ladd Company,95
PG,Biography,6.7,Donald Shebib,Robby Benson,8000000,3000000,Englander Productions,106
PG,Comedy,5.3,Michael Tuchner,Margot Kidder,5000000,4304286,Walt Disney Productions,91
Not Rated,Drama,7.2,Charles Burnett,Everett Silas,50000,26177,Charles Burnett Productions,115
R,Action,8.0,James Cameron,Arnold Schwarzenegger,6400000,78371200,Cinema '84,107
PG-13,Action,6.5,David Lynch,Kyle MacLachlan,40000000,30925690,Dino De Laurentiis Company,137
PG,Action,7.8,Ivan Reitman,Bill Murray,30000000,296187079,Columbia Pictures,105
PG,Action,7.3,John G. Avildsen,Ralph Macchio,8000000,91119319,Columbia Pictures,126
R,Crime,8.4,Sergio Leone,Robert De Niro,30000000,5473212,The Ladd Company,229
R,Comedy,6.7,Hugh Wilson,Steve Guttenberg,4500000,81198894,The Ladd Company,96
PG,Action,7.5,Steven Spielberg,Harrison Ford,28000000,333107271,Paramount Pictures,118
R,Crime,6.8,Brian De Palma,Craig Wasson,10000000,8801940,Columbia Pictures,114
R,Horror,7.5,Wes Craven,Heather Langenkamp,1800000,25507137,New Line Cinema,91
PG,Biography,8.3,Milos Forman,F. Murray Abraham,18000000,52066791,AMLF,160
R,Action,7.3,Martin Brest,Eddie Murphy,14000000,316360478,Paramount Pictures,105
PG-13,Action,6.4,John Milius,Patrick Swayze,17000000,38376497,United Artists,114
PG,Adventure,7.4,Wolfgang Petersen,Noah Hathaway,27000000,20251411,Constantin Film,102
PG,Drama,6.6,Herbert Ross,Kevin Bacon,8200000,80039064,Paramount Pictures,107
R,Comedy,6.6,Jeff Kanew,Robert Carradine,8000000,40874452,Twentieth Century Fox,90
PG,Comedy,7.3,Joe Dante,Zach Galligan,11000000,153633143,Warner Bros.,106
PG,Action,6.9,Robert Zemeckis,Michael Douglas,10000000,86572238,Twentieth Century Fox,106
PG,Action,6.7,Walter Hill,Michael Paré,14500000,8089290,Universal Pictures,93
PG,Comedy,7.0,John Hughes,Molly Ringwald,6500000,23686027,Universal Pictures,93
R,Comedy,7.9,Rob Reiner,Rob Reiner,2500000,4736202,Spinal Tap Prod.,82
PG,Comedy,7.2,Jim Abrahams,Val Kilmer,9000000,20458340,Kingsmere Properties,90
PG,Action,5.9,Richard Fleischer,Arnold Schwarzenegger,18000000,31042035,Dino De Laurentiis Company,103
R,Horror,5.6,Fritz Kiersch,Peter Horton,800000,14568989,Hal Roach Studios,92
PG,Action,6.8,Nick Castle,Lance Guest,15000000,28733290,Lorimar Film Entertainment,101
PG,Comedy,6.3,Ron Howard,Tom Hanks,8000000,69821334,Touchstone Pictures,111
R,Crime,7.6,Joel Coen,John Getz,1500000,4228292,River Road Productions,99
PG,Drama,7.5,Barry Levinson,Robert Redford,28000000,47951979,TriStar Pictures,138
R,Comedy,6.3,Neal Israel,Tom Hanks,5000000,38435947,Bachelor Party Productions,105
R,Horror,6.0,Joseph Zito,Erich Anderson,2600000,32980880,Paramount Pictures,91
R,Action,5.9,Taylor Hackford,Rachel Ward,13000000,21689062,Columbia Pictures,128
PG,Action,4.4,Jeannot Szwarc,Helen Slater,35000000,14296438,Artistry Limited,124
PG,Adventure,7.0,Roger Donaldson,Mel Gibson,25000000,8613462,Dino De Laurentiis Company,132
R,Action,6.1,Mark L. Lester,Drew Barrymore,15000000,17080167,Dino De Laurentiis Company,114
R,Horror,5.6,Douglas Cheek,John Heard,1250000,4654423,C.H.U.D. Productions,88
PG-13,Comedy,6.0,Gene Wilder,Gene Wilder,9000000,25348610,Orion Pictures,87
PG,Action,6.7,Leonard Nimoy,William Shatner,17000000,76471046,Paramount Pictures,105
R,Action,6.9,Alex Cox,Harry Dean Stanton,1500000,129000,Edge City Productions,92
PG,Adventure,6.8,Peter Hyams,Roy Scheider,28000000,40400657,Metro-Goldwyn-Mayer (MGM),116
R,Biography,7.8,Roland Joffé,Sam Waterston,14400000,34700291,Goldcrest Films International,141
R,Crime,6.5,Francis Ford Coppola,Richard Gere,58000000,25928721,Zoetrope Studios,127
PG,Romance,7.0,John Carpenter,Jeff Bridges,22000000,28744356,Columbia Pictures,115
